
> jules-subagents@1.2.0 start
> node dist/index.js

[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
(node:252969) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
2026-04-02T11:55:42.334Z INFO Dashboard server started { service: 'sprint-os', component: 'dashboard-server', port: 4444, localhostUrl: 'http://localhost:4444', loopbackUrl: 'http://127.0.0.1:4444' }
2026-04-02T11:55:42.335Z WARN Jules API key is not set. Jules-native tools are disabled; Gemini/Codex CLI providers can still run. { service: 'sprint-os' }
2026-04-02T11:55:42.336Z WARN Jules API key is not configured.
Set it in one of these locations:
1. `.env` file (`JULES_API_KEY=...`)
2. `.settings` file (`.sprint-os/settings.json` with `julesApiKey`)
3. Dashboard settings at http://localhost:4444
If your key is already set system-wide, restart this process in that environment.
After saving the key, retry your command. { service: 'sprint-os' }
2026-04-02T11:55:42.336Z INFO Sprint OS MCP server running on stdio { service: 'sprint-os', version: '1.2.0' }
2026-04-02T11:57:10.644Z INFO [correlationId=efa64ec8-0db8-4405-8bc9-f96247d74cdf] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/config', statusCode: 200, durationMs: 14 }
2026-04-02T11:58:18.671Z INFO [correlationId=3b9c0578-cafd-4bf0-8149-a714ee4a2e2b] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/settings/import-sources', statusCode: 200, durationMs: 5 }
2026-04-02T11:58:47.001Z INFO [correlationId=496c9bc5-555c-49d6-a52d-71978eda8bbb] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/config', statusCode: 200, durationMs: 2 }
2026-04-02T11:58:47.019Z INFO [correlationId=dbc048a8-9022-4b22-98fb-136278e7649a] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/vendor-BExK0d70.js', statusCode: 200, durationMs: 3 }
2026-04-02T11:58:47.023Z INFO [correlationId=e12ab86e-3c58-4ed1-b8b8-1e3a6786100d] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-DBrgNukz.css', statusCode: 200, durationMs: 8 }
2026-04-02T11:58:47.025Z INFO [correlationId=5791818f-2c16-49f1-974b-01eb974bb72b] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-CyKd0Y8p.js', statusCode: 200, durationMs: 10 }
2026-04-02T11:58:47.027Z INFO [correlationId=2d7734c5-00f5-4f7b-835f-50050fdced41] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/three-C_UKAyhS.js', statusCode: 200, durationMs: 10 }
2026-04-02T11:58:47.206Z INFO [correlationId=c15307a7-b38e-4385-b5ae-7e07da357e1a] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsSurface-BoPWBVlo.js', statusCode: 200, durationMs: 4 }
2026-04-02T11:58:47.208Z INFO [correlationId=2d2bb78c-d984-4b43-ac1a-1ef9b482b9e7] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsPage-0cs72_Pq.js', statusCode: 200, durationMs: 6 }
2026-04-02T11:58:47.216Z INFO [correlationId=2fb1b6a4-418b-4c66-913b-dc109ad5ea56] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/check-B6Mz37QN.js', statusCode: 200, durationMs: 13 }
2026-04-02T11:58:47.217Z INFO [correlationId=c3d61430-1d8c-47f8-8483-b27fdf3f6383] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/refresh-cw-CNuy092Q.js', statusCode: 200, durationMs: 4 }
2026-04-02T11:58:47.218Z INFO [correlationId=a9d1dbc2-45a2-4b12-854a-527f5b016970] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/target-oLltUpJP.js', statusCode: 200, durationMs: 4 }
2026-04-02T11:58:47.407Z INFO [correlationId=e7b62a8e-e066-4e7c-bd8d-559719b0ad3d] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/projects', statusCode: 200, durationMs: 1 }
2026-04-02T11:58:47.737Z INFO [correlationId=80d96878-01a2-40cb-90e6-496be4850e26] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/system-settings', statusCode: 200, durationMs: 3 }
2026-04-02T11:58:47.740Z INFO [correlationId=8031959e-ac4a-4187-8a4b-950dba8c9af9] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/settings/import-sources', statusCode: 200, durationMs: 1 }
2026-04-02T12:00:04.626Z INFO [correlationId=eecaa7ec-dd91-4469-9862-f9f5063651dd] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/config', statusCode: 200, durationMs: 2 }
2026-04-02T12:00:04.655Z INFO [correlationId=f88da8e5-6a03-4f30-8420-996d92c86676] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/vendor-BExK0d70.js', statusCode: 200, durationMs: 12 }
2026-04-02T12:00:04.660Z INFO [correlationId=4182a544-41b1-408d-9c7e-06f367794d57] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-DBrgNukz.css', statusCode: 200, durationMs: 18 }
2026-04-02T12:00:04.664Z INFO [correlationId=cd59a16a-73d7-49ce-9266-f00729400bfb] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-CyKd0Y8p.js', statusCode: 200, durationMs: 22 }
2026-04-02T12:00:04.668Z INFO [correlationId=34b12f7b-1e3f-48c5-b222-275ff8f2a545] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/three-C_UKAyhS.js', statusCode: 200, durationMs: 21 }
2026-04-02T12:00:04.779Z INFO [correlationId=be5eda9c-34f9-4133-8ee1-5dfb22e6fcce] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsPage-0cs72_Pq.js', statusCode: 200, durationMs: 2 }
2026-04-02T12:00:04.787Z INFO [correlationId=acf8a092-afab-4add-97e7-f7420494f06f] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsSurface-BoPWBVlo.js', statusCode: 200, durationMs: 7 }
2026-04-02T12:00:04.788Z INFO [correlationId=150072d2-501f-447a-98f9-f43434c9a7f5] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/check-B6Mz37QN.js', statusCode: 200, durationMs: 7 }
2026-04-02T12:00:04.789Z INFO [correlationId=11a9bd85-0e0b-44fe-8fb9-5a82d4e05b5c] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/refresh-cw-CNuy092Q.js', statusCode: 200, durationMs: 8 }
2026-04-02T12:00:04.789Z INFO [correlationId=851a3817-3f5a-4190-9c18-fe2b3581fde6] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/target-oLltUpJP.js', statusCode: 200, durationMs: 5 }
2026-04-02T12:00:04.993Z INFO [correlationId=0e330b4b-8d08-4f56-9690-f05c2105edd3] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/projects', statusCode: 200, durationMs: 1 }
2026-04-02T12:00:05.318Z INFO [correlationId=69e1751a-4e3e-4154-8758-b47648ff9cf9] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/system-settings', statusCode: 200, durationMs: 1 }
2026-04-02T12:00:05.320Z INFO [correlationId=f25703c8-1d0e-4edf-ae3b-b9313d9cca69] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/settings/import-sources', statusCode: 200, durationMs: 1 }
